2026-03-15T07:07:37.562984103Z [inf]  Starting Container
2026-03-15T07:07:38.045535009Z [err]  2026-03-15 07:07:37,728 - __main__ - INFO - Bot ishga tushdi...
2026-03-15T07:07:38.189541336Z [err]  2026-03-15 07:07:38,186 - apscheduler.scheduler - INFO - Scheduler started
2026-03-15T07:07:38.189546285Z [err]  2026-03-15 07:07:38,186 - telegram.ext.Application - INFO - Application started
2026-03-15T07:07:42.544536740Z [err]  2026-03-15 07:07:42,542 - __main__ - WARNING - Conflict: Bot boshqa joyda ham ishlayapti. Faqat bitta instance (Railway yoki kompyuter).
2026-03-15T07:08:32.561797370Z [err]  2026-03-15 07:08:29,201 - apscheduler.executors.default - INFO - Job "countdown_6295164527 (trigger: interval[0:00:01], next run at: 2026-03-15 07:08:30 UTC)" executed successfully
2026-03-15T07:08:32.561834449Z [err]  2026-03-15 07:08:26,203 - apscheduler.executors.default - INFO - Job "countdown_6295164527 (trigger: interval[0:00:01], next run at: 2026-03-15 07:08:27 UTC)" executed successfully
2026-03-15T07:08:32.561847369Z [err]  2026-03-15 07:08:27,086 - apscheduler.executors.default - INFO - Running job "countdown_6295164527 (trigger: interval[0:00:01], next run at: 2026-03-15 07:08:28 UTC)" (scheduled at 2026-03-15 07:08:27.085414+00:00)
2026-03-15T07:08:32.561853139Z [err]  2026-03-15 07:08:27,204 - apscheduler.executors.default - INFO - Job "countdown_6295164527 (trigger: interval[0:00:01], next run at: 2026-03-15 07:08:28 UTC)" executed successfully
2026-03-15T07:08:32.561859669Z [err]  2026-03-15 07:08:28,087 - apscheduler.executors.default - INFO - Running job "countdown_6295164527 (trigger: interval[0:00:01], next run at: 2026-03-15 07:08:29 UTC)" (scheduled at 2026-03-15 07:08:28.085414+00:00)
2026-03-15T07:08:32.561861899Z [err]  2026-03-15 07:08:25,086 - apscheduler.scheduler - INFO - Added job "countdown_6295164527" to job store "default"
2026-03-15T07:08:32.561867258Z [err]  2026-03-15 07:08:28,198 - apscheduler.executors.default - INFO - Job "countdown_6295164527 (trigger: interval[0:00:01], next run at: 2026-03-15 07:08:29 UTC)" executed successfully
2026-03-15T07:08:32.561870588Z [err]  2026-03-15 07:08:26,086 - apscheduler.executors.default - INFO - Running job "countdown_6295164527 (trigger: interval[0:00:01], next run at: 2026-03-15 07:08:27 UTC)" (scheduled at 2026-03-15 07:08:26.085414+00:00)
2026-03-15T07:08:32.561873988Z [err]  2026-03-15 07:08:29,087 - apscheduler.executors.default - INFO - Running job "countdown_6295164527 (trigger: interval[0:00:01], next run at: 2026-03-15 07:08:30 UTC)" (scheduled at 2026-03-15 07:08:29.085414+00:00)
2026-03-15T07:08:32.563479420Z [err]  2026-03-15 07:08:30,087 - apscheduler.executors.default - INFO - Running job "countdown_6295164527 (trigger: interval[0:00:01], next run at: 2026-03-15 07:08:31 UTC)" (scheduled at 2026-03-15 07:08:30.085414+00:00)
2026-03-15T07:08:32.563482950Z [err]  2026-03-15 07:08:30,211 - apscheduler.executors.default - INFO - Job "countdown_6295164527 (trigger: interval[0:00:01], next run at: 2026-03-15 07:08:31 UTC)" executed successfully
2026-03-15T07:08:32.563485880Z [err]  2026-03-15 07:08:31,087 - apscheduler.executors.default - INFO - Running job "countdown_6295164527 (trigger: interval[0:00:01], next run at: 2026-03-15 07:08:32 UTC)" (scheduled at 2026-03-15 07:08:31.085414+00:00)
2026-03-15T07:08:32.563489090Z [err]  2026-03-15 07:08:31,324 - apscheduler.executors.default - INFO - Job "countdown_6295164527 (trigger: interval[0:00:01], next run at: 2026-03-15 07:08:32 UTC)" executed successfully
2026-03-15T07:08:32.563492969Z [err]  2026-03-15 07:08:32,086 - apscheduler.executors.default - INFO - Running job "countdown_6295164527 (trigger: interval[0:00:01], next run at: 2026-03-15 07:08:33 UTC)" (scheduled at 2026-03-15 07:08:32.085414+00:00)
2026-03-15T07:08:32.563495599Z [err]  2026-03-15 07:08:32,202 - apscheduler.executors.default - INFO - Job "countdown_6295164527 (trigger: interval[0:00:01], next run at: 2026-03-15 07:08:33 UTC)" executed successfully
